"Name","Price","Unit","Category ID"
"Цинкогрунт","420.0","р\кг","2"
"Антик медь","390.0","р\кг","2"
"Антик серебро","480.0","р\кг","2"
"Букле серый","455.0","р\кг","2"
"Букле чёрный","345.0","р\кг","2"
"Букле опал","421.0","р\кг","2"
"Муар 1019","375.0","р\кг","2"
"Муар чёрный 9005","300.0","р\кг","2"
"Муар 7021","360.0","р\кг","2"
"Муар 7024","370.00","р\кг","2"
"Муар 9003","388.00","р\кг","2"
"Муар 6028","480.00","р\кг","2"
"Бронза 74П-566","380.00","р\кг","2"
"Синий 74П-220","515.00","р\кг","2"
"Золото на белом","650.00","р\кг","2"
"Серебро на белом","590.00","р\кг","2"
"Шагрень 9003","450.00","р\кг","2"
"Муар металлик бронзовый","600.00","р\кг","2"
"Муар металлик 8019","500.00","р\кг","2"
"Муар металлик синий","540.00","р\кг","2"
"Муар металлик чёрный","470.00","р\кг","2"
"Муар металлик серый","435.00","р\кг","2"